acc_ref,beat_no,severity,no_vehicle,no_casualt,a_date,a_day,a_date_day,a_date_mon,a_date_yr,a_time_hr,a_time_min,loc_auth,road1_class,road1_no,road_type,speed_limi,junc_det,junc_ctrl,road2_class,road2_no,light_cond,weather,road_surf,spec_cond,cway_hzrds,ovrtk_patrn,easting,northing,net_id,net_type,acc_type,text_id,division,Postcode,ped_xing_hc,ped_xing_p,place_reported,latitude,longitude
211,,Slight,1,1,31/12/2011,Saturday,31,December,11,16,45,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,319900,672730,0,Unset,Pedestrian,352065,unset,EH127SS,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.94097568,-3.282526661
511,,Serious,1,1,31/12/2011,Saturday,31,December,11,15,20,230,A,702,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,324930,672730,549180,Segment,Pedestrian,352066,unset,EH39LH,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,At scene,55.9417875,-3.20200907
711,,Serious,1,1,01/01/2011,Saturday,1,January,11,0,25,230,Unclassified,,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Darkness: street lights present and lit,Raining (without high winds),Dry,None,None,No overtaking,319420,669780,12226642,Junction,Pedestrian,365392,unset,EH142SR,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.91439391,-3.28932969
1511,,Slight,2,1,25/12/2011,Sunday,25,December,11,16,30,230,C,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Darkness: street lights present and lit,Fine with high winds,Dry,None,Other object in carriageway,No overtaking,320630,671310,564484,Segment,Cyclist,352067,unset,EH113RQ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.92834,-3.270423883
4111,,Serious,2,1,04/01/2011,Tuesday,4,January,11,7,15,230,A,902,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,322590,675000,563709,Segment,Cyclist,365393,unset,EH42NF,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.96180941,-3.240118827
4211,,Slight,2,1,04/01/2011,Tuesday,4,January,11,8,5,230,Unclassified,,Roundabout,30,Roundabout,Give way sign or markings,Unclassified,,Daylight: street lights present,Raining (without high winds),Dry,None,None,No overtaking,321360,671790,522177,Junction,T.V.N.P.,365394,unset,EH113JX,Control by other authorised person,Zebra crossing,At scene,55.93277209,-3.258882254
6511,,Slight,1,1,05/01/2011,Wednesday,5,January,11,7,49,230,A,720,Dual carriageway - 2 lanes,70,Not at or within 20 metres of junction,unset,\,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,331660,667950,2579269,Segment,S.V.N.P.,365395,unset,EH221RT,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.89984682,-3.093063249
7611,,Slight,2,1,05/01/2011,Wednesday,5,January,11,7,0,230,A,720,Dual carriageway - 2 lanes,70,Not at or within 20 metres of junction,unset,\,,Darkness: no street lighting,Snowing (without high winds),Dry,None,None,No overtaking,327620,666910,2588028,Segment,T.V.N.P.,365396,unset,EH178SG,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.88991299,-3.157388369
8111,,Slight,2,1,06/01/2011,Thursday,6,January,11,6,45,230,B,900,Roundabout,30,Roundabout,Give way sign or markings,Unclassified,,Darkness: street lights present and lit,Unknown,Dry,None,None,No overtaking,323510,674610,520098,Junction,Cyclist,365397,unset,EH42DL,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.95845313,-3.22527341
8411,,Serious,1,1,05/01/2011,Wednesday,5,January,11,17,30,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,322270,675630,563950,Segment,Pedestrian,365398,unset,EH44AJ,Control by other authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",At scene,55.96741745,-3.245425693
